FID,Shape,地名,区划码,县级,县级码,县级类,地级,地级码,地级类,省级,省级码,省级类,曾用名,备注,ENG_NAME
0,面,西沙区,460301,西沙区,460301,市辖区,三沙市,460300,地级市,海南省,460000,省, ,2020年新设西沙区,Xisha
1,面,南沙区,460302,南沙区,460302,市辖区,三沙市,460300,地级市,海南省,460000,省, ,2020年新设南沙区,Nansha
2,面,阿巴嘎旗,152522,阿巴嘎旗,152522,旗,锡林郭勒盟,152500,盟,内蒙古自治区,150000,自治区, , ,Abaga
3,面,阿坝县,513231,阿坝县,513231,县,阿坝藏族羌族自治州,513200,自治州,四川省,510000,省, , ,Aba
4,面,阿城区,230112,阿城区,230112,市辖区,哈尔滨市,230100,地级市,黑龙江省,230000,省,阿城市,2006年撤销阿城市，设立阿城区,Acheng
5,面,阿尔山市,152202,阿尔山市,152202,县级市,兴安盟,152200,盟,内蒙古自治区,150000,自治区, , ,Aershan
6,面,阿合奇县,653023,阿合奇县,653023,县,克孜勒苏柯尔克孜自治州,653000,自治州,新疆维吾尔自治区,650000,自治区, , ,Aheqi
7,面,阿克塞哈萨克族自治县,620924,阿克塞哈萨克族自治县,620924,自治县,酒泉市,620900,地级市,甘肃省,620000,省, , ,AkesaiKazak
8,面,阿克苏市,652901,阿克苏市,652901,县级市,阿克苏地区,652900,地区,新疆维吾尔自治区,650000,自治区, , ,Akesu
9,面,阿克陶县,653022,阿克陶县,653022,县,克孜勒苏柯尔克孜自治州,653000,自治州,新疆维吾尔自治区,650000,自治区, , ,Aketao
10,面,阿拉尔市,659002,阿拉尔市,659002,县级市,不统计,0,不统计,新疆维吾尔自治区,650000,自治区, ,"省直辖市,省直管,是县级单位",Alaer
11,面,阿拉山口市,652702,阿拉山口市,652702,县级市,博尔塔拉蒙古自治州,652700,自治州,新疆维吾尔自治区,650000,自治区, ,2012年新设阿拉山口市，下辖艾比湖街道、阿拉套街道,Alashankou
12,面,阿拉善右旗,152922,阿拉善右旗,152922,旗,阿拉善盟,152900,盟,内蒙古自治区,150000,自治区, , ,Alashanyou
13,面,阿拉善左旗,152921,阿拉善左旗,152921,旗,阿拉善盟,152900,盟,内蒙古自治区,150000,自治区, , ,Alashanzuo
14,面,阿勒泰市,654301,阿勒泰市,654301,县级市,阿勒泰地区,654300,地区,新疆维吾尔自治区,650000,自治区, , ,Aletai
15,面,阿鲁科尔沁旗,150421,阿鲁科尔沁旗,150421,旗,赤峰市,150400,地级市,内蒙古自治区,150000,自治区, , ,Alukeerqin
16,面,阿荣旗,150721,阿荣旗,150721,旗,呼伦贝尔市,150700,地级市,内蒙古自治区,150000,自治区, , ,Arong
17,面,阿图什市,653001,阿图什市,653001,县级市,克孜勒苏柯尔克孜自治州,653000,自治州,新疆维吾尔自治区,650000,自治区, , ,Atushi
18,面,阿瓦提县,652928,阿瓦提县,652928,县,阿克苏地区,652900,地区,新疆维吾尔自治区,650000,自治区, , ,Awati
19,面,爱辉区,231102,爱辉区,231102,市辖区,黑河市,231100,地级市,黑龙江省,230000,省, , ,Aihui
20,面,爱民区,231004,爱民区,231004,市辖区,牡丹江市,231000,地级市,黑龙江省,230000,省, , ,Aimin
21,面,安次区,131002,安次区,131002,市辖区,廊坊市,131000,地级市,河北省,130000,省, , ,Anci
22,面,安达市,231281,安达市,231281,县级市,绥化市,231200,地级市,黑龙江省,230000,省, , ,Anda
23,面,安定区,621102,安定区,621102,市辖区,定西市,621100,地级市,甘肃省,620000,省,定西县,2003年撤销定西县，设立安定区,Anding
24,面,安多县,540624,安多县,540624,县,那曲市,540600,地级市,西藏自治区,540000,自治区, , ,Anduo
25,面,安福县,360829,安福县,360829,县,吉安市,360800,地级市,江西省,360000,省, , ,Anfu
26,面,安国市,130683,安国市,130683,县级市,保定市,130600,地级市,河北省,130000,省, , ,Anguo
27,面,安化县,430923,安化县,430923,县,益阳市,430900,地级市,湖南省,430000,省, , ,Anhua
28,面,安吉县,330523,安吉县,330523,县,湖州市,330500,地级市,浙江省,330000,省, , ,Anji
29,面,安居区,510904,安居区,510904,市辖区,遂宁市,510900,地级市,四川省,510000,省, , ,Anju
30,面,安龙县,522328,安龙县,522328,县,黔西南布依族苗族自治州,522300,自治州,贵州省,520000,省, , ,Anlong
31,面,安陆市,420982,安陆市,420982,县级市,孝感市,420900,地级市,湖北省,420000,省, , ,Anlu
32,面,安宁区,620105,安宁区,620105,市辖区,兰州市,620100,地级市,甘肃省,620000,省, , ,Anning
33,面,安宁市,530181,安宁市,530181,县级市,昆明市,530100,地级市,云南省,530000,省, , ,Anning
34,面,安平县,131125,安平县,131125,县,衡水市,131100,地级市,河北省,130000,省, , ,Anping
35,面,安丘市,370784,安丘市,370784,县级市,潍坊市,370700,地级市,山东省,370000,省, , ,Anqiu
36,面,安仁县,431028,安仁县,431028,县,郴州市,431000,地级市,湖南省,430000,省, , ,Anren
37,面,安塞区,610603,安塞区,610603,市辖区,延安市,610600,地级市,陕西省,610000,省,安塞县,2016年撤销安塞县，设立安塞区,Ansai
38,面,安图县,222426,安图县,222426,县,延边朝鲜族自治州,222400,自治州,吉林省,220000,省, , ,Antu
39,面,安溪县,350524,安溪县,350524,县,泉州市,350500,地级市,福建省,350000,省, , ,Anxi
40,面,安乡县,430721,安乡县,430721,县,常德市,430700,地级市,湖南省,430000,省, , ,Anxiang
41,面,安新县,130632,安新县,130632,县,保定市,130600,地级市,河北省,130000,省, , ,Anxin
42,面,安阳县,410522,安阳县,410522,县,安阳市,410500,地级市,河南省,410000,省, , ,Anyang
43,面,安义县,360123,安义县,360123,县,南昌市,360100,地级市,江西省,360000,省, , ,Anyi
44,面,安源区,360302,安源区,360302,市辖区,萍乡市,360300,地级市,江西省,360000,省, , ,Anyuan
45,面,安远县,360726,安远县,360726,县,赣州市,360700,地级市,江西省,360000,省, , ,Anyuan
46,面,安岳县,512021,安岳县,512021,县,资阳市,512000,地级市,四川省,510000,省, , ,Anyue
47,面,安泽县,141026,安泽县,141026,县,临汾市,141000,地级市,山西省,140000,省, , ,Anze
48,面,安州区,510705,安州区,510705,市辖区,绵阳市,510700,地级市,四川省,510000,省,安县,2016年撤销安县，设立安州区,Anzhou
49,面,昂昂溪区,230205,昂昂溪区,230205,市辖区,齐齐哈尔市,230200,地级市,黑龙江省,230000,省, , ,Angangxi
50,面,昂仁县,540226,昂仁县,540226,县,日喀则市,540200,地级市,西藏自治区,540000,自治区, , ,Angren
51,面,敖汉旗,150430,敖汉旗,150430,旗,赤峰市,150400,地级市,内蒙古自治区,150000,自治区, , ,Aohan
52,面,澳门特别行政区,820000,不统计,0,不统计,不统计,0,不统计,澳门特别行政区,820000,特别行政区, , ,Macao
53,面,八步区,451102,八步区,451102,市辖区,贺州市,451100,地级市,广西壮族自治区,450000,自治区, , ,Babu
54,面,八公山区,340405,八公山区,340405,市辖区,淮南市,340400,地级市,安徽省,340000,省, , ,Bagongshan
55,面,八宿县,540326,八宿县,540326,县,昌都市,540300,地级市,西藏自治区,540000,自治区, , ,Basu
56,面,巴楚县,653130,巴楚县,653130,县,喀什地区,653100,地区,新疆维吾尔自治区,650000,自治区, , ,Bachu
57,面,巴东县,422823,巴东县,422823,县,恩施土家族苗族自治州,422800,自治州,湖北省,420000,省, , ,Badong
58,面,巴里坤哈萨克自治县,650521,巴里坤哈萨克自治县,650521,自治县,哈密市,650500,地级市,新疆维吾尔自治区,650000,自治区, , ,Balikunhasake
59,面,巴林右旗,150423,巴林右旗,150423,旗,赤峰市,150400,地级市,内蒙古自治区,150000,自治区, , ,Balinyou
60,面,巴林左旗,150422,巴林左旗,150422,旗,赤峰市,150400,地级市,内蒙古自治区,150000,自治区, , ,Balinzuo
61,面,巴马瑶族自治县,451227,巴马瑶族自治县,451227,自治县,河池市,451200,地级市,广西壮族自治区,450000,自治区, , ,Bamayaozu
62,面,巴南区,500113,巴南区,500113,市辖区,不统计,0,不统计,重庆市,500000,直辖市, , ,Banan
63,面,巴青县,540628,巴青县,540628,县,那曲市,540600,地级市,西藏自治区,540000,自治区, , ,Baqing
