FID,Shape,地名,区划码,地级,地级码,地级类,省级,省级码,省级类,曾用名,备注,ENG_NAME
0,面,阿克苏地区,652900,阿克苏地区,652900,地区,新疆维吾尔自治区,650000,自治区, , ,Akesu
1,面,阿拉尔市,659002,不统计,0,不统计,新疆维吾尔自治区,650000,自治区, , ,Alaer
2,面,阿拉善盟,152900,阿拉善盟,152900,盟,内蒙古自治区,150000,自治区, , ,Alashan
3,面,阿勒泰地区,654300,阿勒泰地区,654300,地区,新疆维吾尔自治区,650000,自治区, , ,Aletai
4,面,阿里地区,542500,阿里地区,542500,地区,西藏自治区,540000,自治区, , ,Ali
5,面,安康市,610900,安康市,610900,地级市,陕西省,610000,省,安康地区,2000年撤销安康地区 ，设立安康市,Ankang
6,面,安庆市,340800,安庆市,340800,地级市,安徽省,340000,省, , ,Anqing
7,面,安顺市,520400,安顺市,520400,地级市,贵州省,520000,省,安顺地区,2000年撤销安顺地区 ，设立安顺市,Anshun
8,面,安阳市,410500,安阳市,410500,地级市,河南省,410000,省, , ,Anyang
9,面,鞍山市,210300,鞍山市,210300,地级市,辽宁省,210000,省, , ,Anshan
10,面,澳门特别行政区,820000,不统计,0,不统计,澳门特别行政区,820000,特别行政区, , ,Macao
11,面,巴彦淖尔市,150800,巴彦淖尔市,150800,地级市,内蒙古自治区,150000,自治区,巴彦淖尔盟,2003年巴彦淖尔盟更名为巴彦淖尔市,Bayannaoer
12,面,巴音郭楞蒙古自治州,652800,巴音郭楞蒙古自治州,652800,自治州,新疆维吾尔自治区,650000,自治区, , ,Bayinguolengmenggu
13,面,巴中市,511900,巴中市,511900,地级市,四川省,510000,省, , ,Bazhong
14,面,白城市,220800,白城市,220800,地级市,吉林省,220000,省, , ,Baicheng
15,面,白沙黎族自治县,469025,不统计,0,不统计,海南省,460000,省, , ,Baishalizu
16,面,白山市,220600,白山市,220600,地级市,吉林省,220000,省, , ,Baishan
17,面,白银市,620400,白银市,620400,地级市,甘肃省,620000,省, , ,Baiyin
18,面,百色市,451000,百色市,451000,地级市,广西壮族自治区,450000,自治区,百色地区,2002年撤销百色地区，设立百色市,Baise
19,面,蚌埠市,340300,蚌埠市,340300,地级市,安徽省,340000,省, , ,Bengbu
20,面,包头市,150200,包头市,150200,地级市,内蒙古自治区,150000,自治区, , ,Baotou
21,面,宝鸡市,610300,宝鸡市,610300,地级市,陕西省,610000,省, , ,Baoji
22,面,保定市,130600,保定市,130600,地级市,河北省,130000,省, , ,Baoding
23,面,保山市,530500,保山市,530500,地级市,云南省,530000,省,保山地区,2000年撤销保山地区 ，设立保山市,Baoshan
24,面,保亭黎族苗族自治县,469029,不统计,0,不统计,海南省,460000,省, , ,Baotinglizumiaozu
25,面,北海市,450500,北海市,450500,地级市,广西壮族自治区,450000,自治区, , ,Beihai
26,面,北京市,110000,不统计,0,不统计,北京市,110000,直辖市, , ,Beijing
27,面,北屯市,659005,不统计,0,不统计,新疆维吾尔自治区,650000,自治区, , ,Beitun
28,面,本溪市,210500,本溪市,210500,地级市,辽宁省,210000,省, , ,Benxi
29,面,毕节市,520500,毕节市,520500,地级市,贵州省,520000,省,毕节地区,2012年撤销毕节地区，设立毕节市,Bijie
30,面,滨州市,371600,滨州市,371600,地级市,山东省,370000,省,滨州地区,2000年撤销滨州地区 ，设立滨州市,Binzhou
31,面,亳州市,341600,亳州市,341600,地级市,安徽省,340000,省, , ,Bozhou
32,面,博尔塔拉蒙古自治州,652700,博尔塔拉蒙古自治州,652700,自治州,新疆维吾尔自治区,650000,自治区, , ,Boertalamenggu
33,面,沧州市,130900,沧州市,130900,地级市,河北省,130000,省, , ,Cangzhou
34,面,昌都市,540300,昌都市,540300,地级市,西藏自治区,540000,自治区,昌都地区,2014年撤销昌都地区，设立昌都市,Changdu
35,面,昌吉回族自治州,652300,昌吉回族自治州,652300,自治州,新疆维吾尔自治区,650000,自治区, , ,Changjihuizu
36,面,昌江黎族自治县,469026,不统计,0,不统计,海南省,460000,省, , ,Changjianglizu
37,面,常德市,430700,常德市,430700,地级市,湖南省,430000,省, , ,Changde
38,面,常州市,320400,常州市,320400,地级市,江苏省,320000,省, , ,Changzhou
39,面,朝阳市,211300,朝阳市,211300,地级市,辽宁省,210000,省, , ,Chaoyang
40,面,潮州市,445100,潮州市,445100,地级市,广东省,440000,省, , ,Chaozhou
41,面,郴州市,431000,郴州市,431000,地级市,湖南省,430000,省, , ,Chenzhou
42,面,成都市,510100,成都市,510100,地级市,四川省,510000,省, ,2016年资阳市简阳市改由成都市代管,Chengdu
43,面,承德市,130800,承德市,130800,地级市,河北省,130000,省, , ,Chengde
44,面,澄迈县,469023,不统计,0,不统计,海南省,460000,省, , ,Chengmai
45,面,池州市,341700,池州市,341700,地级市,安徽省,340000,省,池州地区,2000年撤销池州地区，设立池州市,Chizhou
46,面,赤峰市,150400,赤峰市,150400,地级市,内蒙古自治区,150000,自治区, , ,Chifeng
