FID,Shape,省,省级码,省类型,ENG_NAME,year
0,面,北京市,110000,直辖市,Beijing,2024
1,面,天津市,120000,直辖市,Tianjin,2024
2,面,河北省,130000,省,Hebei,2024
3,面,山西省,140000,省,Shanxi,2024
4,面,内蒙古自治区,150000,自治区,Neimenggu,2024
5,面,辽宁省,210000,省,Liaoning,2024
6,面,吉林省,220000,省,Jilin,2024
7,面,黑龙江省,230000,省,Heilongjiang,2024
8,面,上海市,310000,直辖市,Shanghai,2024
9,面,浙江省,330000,省,Zhejiang,2024
10,面,安徽省,340000,省,Anhui,2024
11,面,福建省,350000,省,Fujian,2024
12,面,江西省,360000,省,Jiangxi,2024
13,面,山东省,370000,省,Shandong,2024
14,面,河南省,410000,省,Henan,2024
15,面,湖北省,420000,省,Hubei,2024
16,面,湖南省,430000,省,Hunan,2024
17,面,广东省,440000,省,Guangdong,2024
18,面,广西壮族自治区,450000,自治区,Guangxi,2024
19,面,海南省,460000,省,Hainan,2024
20,面,重庆市,500000,直辖市,Chongqing,2024
21,面,四川省,510000,省,Sichuan,2024
22,面,贵州省,520000,省,Guizhou,2024
23,面,云南省,530000,省,Yunnan,2024
24,面,西藏自治区,540000,自治区,Xizang,2024
25,面,陕西省,610000,省,Shaanxi,2024
26,面,甘肃省,620000,省,Gansu,2024
27,面,青海省,630000,省,Qinghai,2024
28,面,宁夏回族自治区,640000,自治区,Ningxia,2024
29,面,新疆维吾尔自治区,650000,自治区,Xinjiang,2024
30,面,香港特别行政区,810000,特别行政区,HongKong,2024
31,面,澳门特别行政区,820000,特别行政区,Macao,2024
32,面,江苏省,320000,省,Jiangsu,2024
33,面,台湾省,710000,省,Taiwan,2024
